chapter_no	chapter_title	question_no	question	choice_1	choice_2	choice_3	choice_4	answer	evidence	explanation
3	The Blocked Basement	5	예전에 이 집에 살 때 두 자매의 잠자리는 어땠나요?	할머니 방에서 잤다	각자 다른 방을 썼다	침대를 붙여 놓고 함께 잤다	거실에서 잤다	3	Upstairs, the attic room is creaky-cozy, with peaked ceilings, a full-length, wood-framed mirror, and two twin beds dressed in faded quilts. [RED: When Sam and I lived here, we pushed the beds together and curled into one another, trading stories in the dark. Now the beds are on opposite sides of the room, separated by the wide window.] Sam throws off her wet clothes, smears her dark makeup onto the clean towel, and tugs the black sequined nightgown on.	지금은 창문을 사이에 두고 침대가 양쪽으로 떨어져 있습니다.
3	The Blocked Basement	6	샘이 쓴 'QAG'는 무엇의 줄임말인가요?	Quiet Asian Girl	Quick Angry Girl	Quiet And Good	Queen Of All Games	1	You’re being a QAG.” [RED: QAG is Sam for Quiet Asian Girl. As in, a stereotype.] As in, Sam tries so hard not to be a stereotype that she wears black lipstick and bleached a lock of her hair and says every little thought that comes to mind.	아시아계 여학생에 대한 고정관념을 가리키는 말입니다.
3	The Blocked Basement	7	What does Lily think will happen if she rocks the boat too?	Mom will take her side.	Nothing will change.	Sam will listen to her.	The boat will flip.	4	You don’t have to be so afraid to rock the boat, you know.” [RED: What Sam doesn’t realize is that she’s already rocking our boat. If I rock it, too, the boat will flip. We’ll drown.] I listen to the rain beat against the roof, and I run my hand over the quilt.	릴리는 자기까지 나서면 가족이 무너진다고 믿습니다.
3	The Blocked Basement	8	3장 마지막에 벌어진 일은?	호랑이가 다시 나타났다	할머니가 돌아왔다	정전이 되었다	샘이 집을 나갔다	2	“Yeah,” I reply. [RED: I almost feel like I could tell her about the tiger dream-mirage-spirit thing. Then, downstairs, the door slams open. Halmoni’s home.]	릴리가 호랑이 이야기를 꺼내려던 순간 할머니가 돌아옵니다.
4	Food for the Spirits	1	할머니가 집에 들어서며 두 팔 가득 안고 있던 것은?	약봉지	꽃다발	음식이 든 장바구니 네 개	이불 보따리	3	Her jewel pendant rests in the U-shaped dip between her collarbones, deeper than before. [RED: But she’s still as glamorous as always, with her lips bright red, her hair permed and dyed blackest black. In her arms, she carries four big grocery bags, filled to the brim with food.] Mom’s already at the door, dressed in Halmoni’s pajamas and greeting her with questions—“Why weren’t you here?	엄마가 음식이 너무 많다고 할 만큼 잔뜩 사 왔습니다.
4	Food for the Spirits	2	What does Halmoni say about Sam's white streak?	She should dye it back.	It is bad luck.	It runs in the family.	It looks unnatural.	3	It’s unnatural.” Sam glares at Mom, and [RED: Halmoni twirls the streak in her fingers. “It run in our family. I have this when I little, too,” she says, winking at Sam and me. Mom’s voice is tight. “A bleached streak is not a genetic trait.”] Halmoni doesn’t even look at her.	할머니는 집안 내력이라며 샘의 편을 들어 줍니다.
4	Food for the Spirits	3	How does Halmoni stop Mom from lecturing her?	She turns on the TV.	She makes a sharp hissing noise.	She starts singing.	She leaves the room.	2	You need to—” [RED: “Tsst,” Halmoni hisses, holding up one finger. Sam and I used to watch a TV show about a dog trainer who used an angry hissing noise to tame dogs. This is the same noise.] Mom clenches her jaw, then tries another line of questioning.	개 훈련사가 개를 다스릴 때 내던 소리와 같은 소리입니다.
4	Food for the Spirits	4	할머니가 지하실 물건을 위로 올린 이유로 댄 것은?	손님이 와서	지하실을 고치려고	벌레가 생겨서	지하실에 물이 차서	4	She gestures to the stack of boxes and furniture in front of the basement door. [RED: Halmoni shrugs one shoulder. “The basement flood, so the stuff come up.”] Sam raises an eyebrow.	지하실이 물에 잠겨 짐을 올렸다고 말합니다.
4	Food for the Spirits	5	엄마는 어디서 자게 되었나요?	다락방	지하실	할머니 방	거실 소파	4	You—” She pauses. [RED: “Where am I supposed to sleep?” When we lived here before, Mom slept in the basement, wedged in between all Halmoni’s things. “You sleep in living room, on the couch,” Halmoni responds, like this is no big deal.] I expect Mom to argue, but she walks over to the boxes.	지하실을 못 쓰게 되어 거실 소파에서 자게 됩니다.
4	Food for the Spirits	6	할머니가 오늘은 상자를 옮기면 안 된다고 한 이유는?	허리가 아파서	오늘은 길한 날이 아니라서	상자가 너무 무거워서	비가 와서	2	Halmoni waves her arms in front of her, like she’s warding off Mom’s annoyance. [RED: “No, no. Today is not auspicious day. When I move boxes out, that is a lucky day. But today is dangerous day for spirits. We move another day.”] A dangerous day for spirits.	오늘은 영들에게 위험한 날이라 다른 날 옮기자고 합니다.
4	Food for the Spirits	7	할머니가 고사를 특히 꼭 지내야 한다고 말한 날은?	생일날	비가 오는 날	큰 변화가 있는 날	보름달이 뜨는 날	3	They warm my fingers. [RED: “This very important to do on days of big change,” Halmoni tells me as she pours wine into small ceramic bowls. “When people come in. When people go out. We do this to keep spirits happy.”] She leans closer, her breath tickling my ear.	사람이 들고 나는 큰 변화의 날에 지낸다고 합니다.
4	Food for the Spirits	8	샘이 고사를 싫어하게 된 계기는?	친구들이 놀려서	음식이 맛없어서	릴리가 그 음식이 아빠를 위한 것이라고 말해서	할머니에게 혼나서	3	When I was little, I used to pretend that Dad would come for kosa, to eat with us. [RED: I made the mistake of telling Sam once that the food was for him. Her face twisted up and she spat, He’s dead. This isn’t a game. She never liked kosa after that.] After Halmoni heats a plate of red-bean rice cakes, she hands them to me, and I arrange them in a bamboo basket, the way she taught me.	아빠가 오신다는 릴리의 말에 샘이 크게 화를 낸 뒤부터입니다.
4	Food for the Spirits	9	What does Halmoni say the tigers want back?	Something she stole from them	Their mountain	Her pendant	Their cubs	1	“Like what?” [RED: “The tigers looking for me,” she says, running her hand down my arm, lost in thought. “I steal something that belong to them—long, long ago, when I little like you—and now they want it back.”] “Wait, what?	어릴 적 호랑이들의 것을 훔쳤고 이제 되찾으러 온다고 말합니다.
5	The Sun and the Moon	1	이야기 속 할머니가 마을에 간 이유는?	친척을 만나러	약을 지으러	손녀들에게 줄 떡을 사려고	장을 보러	3	They were sisters, with long black braids, and they shared everything together, including a love of rice cakes. [RED: One day, the halmoni went into the village to buy rice cakes for her girls, but a tiger stopped her as she walked home.] He came out of nowhere—as if he had jumped from the sky—and stood right in front of her, blocking the path.	손녀들에게 줄 떡을 사서 돌아오는 길이었습니다.
5	The Sun and the Moon	2	What did the tiger wear as a disguise?	A straw hat	The halmoni’s head scarf	A white robe	A wooden mask	2	He wasn’t satisfied—tigers never are—but he was clever. [RED: He took Halmoni’s head scarf, and when he went to the little cottage days later, he wore it as a disguise.] Knocking on their door, the tiger said, Little girls, I am your halmoni.	잡아먹은 할머니의 머릿수건을 쓰고 찾아옵니다.
5	The Sun and the Moon	3	두 소녀가 결국 문을 열어 준 까닭은?	호랑이 목소리를 못 알아봐서	동생이 할머니가 너무 그리워서	떡 냄새가 나서	비가 와서 불쌍해서	2	Little treats for Unya, for Eggi. [RED: The little sister wanted her halmoni so badly. And the tiger called to her, Trust me, Little Egg. Believe. So she ran to the front door and pulled it open.] Eggi held her breath, waiting.	동생이 할머니가 너무 보고 싶어 문을 열고 맙니다.
5	The Sun and the Moon	4	What did the sky god ask for in exchange for saving the girls?	A story	Their rice cakes	The tiger’s skin	Their names	1	Please please please. [RED: To her surprise, the sky god talked back. Hmmm, he said. Okay, fine. But tell me a story in exchange. Not even sky gods can resist a story.] So Eggi and Unya thought fast, and they told him a story.	하늘님도 이야기 앞에서는 못 견딘다고 합니다.
5	The Sun and the Moon	5	두 자매가 해와 달의 자리를 바꾼 이유는?	하늘님이 시켜서	달이 더 밝아서	언니가 밤이 무서워서	동생이 사람들의 시선을 싫어해서	4	So the older sister became the sun, and the younger sister became the moon. [RED: Unya was happy, but Eggi cried. Everyone always stared up at the moon, and she didn’t like that. She wanted to hide.] So the elder offered to trade places.	아무도 해는 똑바로 쳐다볼 수 없기 때문입니다.
6	The Empty Basement	1	릴리가 한밤중에 잠에서 깬 뒤 부엌으로 내려간 이유는?	배가 고파서	소리가 나서	숙제가 생각나서	목이 말라서	1	[RED: I wake up sweating. Sheets twisted, pillow damp, bed creaking. My stomach growls, and I realize I’m desperately hungry for midnight kimchi, so I untangle my blankets and slip out of bed.] As I tiptoe across the room, past my sister, I beg the noisy floorboards to keep quiet.	한밤중에 김치가 먹고 싶어 몰래 내려갑니다.
6	The Empty Basement	2	What has changed in front of the basement door?	A new lock has been added.	The door has been painted.	The boxes have been stacked higher.	The boxes have been pushed aside.	4	And then I stop. [RED: The boxes that were pressed up against the basement door have been shoved aside, leaving a clear path.] I know Mom wanted to move the boxes, but I didn’t think she cared enough to upset Halmoni.	문을 막고 있던 상자들이 옆으로 밀려나 길이 나 있었습니다.
6	The Empty Basement	3	지하실에 내려간 릴리가 알게 된 사실은?	물에 잠긴 적이 없이 바싹 말라 있었다	상자가 그대로 쌓여 있었다	창문이 깨져 있었다	물이 발목까지 차 있었다	1	Now: nothing. [RED: Nothing at all, not even water—even though Halmoni said the basement had flooded. I kneel on the floor and run my hand over the carpet. It’s bone dry.] Shouldn’t it be damp?	물이 찼다는 할머니의 말과 달리 바닥은 바싹 말라 있었습니다.
6	The Empty Basement	4	릴리가 욕실에서 본 검은 짐승의 정체는?	호랑이	그림자뿐이었다	토하고 있는 할머니	잠에서 깬 엄마	3	It growls and moves like all its bones are broken. [RED: My heart freezes over, but then the shadows slip away— And it’s not a beast at all. It’s Halmoni. And something’s wrong.]	그림자가 걷히자 몸을 웅크린 할머니가 있었습니다.
7	Just a Little Bug	1	할머니가 자기 병을 뭐라고 불렀나요?	나이 탓	체한 것	작은 딱정벌레	지독한 감기	3	“Are you—are you sick?” [RED: “Oh, yes, Lily. Only a little bit. How do you call it? A little beetle?” Sometimes I think she mixes up words on purpose, to make us laugh—to distract us. “A bug?” I clarify.] She nods.	a bug(잔병)을 beetle(딱정벌레)로 잘못 말한 것입니다.
7	Just a Little Bug	2	할머니의 평소 잠 습관으로 맞는 것은?	새벽까지 깨어 있는다	여덟 시 반에 자서 열두 시간을 잔다	낮잠을 자지 않는다	거실에서 잔다	2	Halmoni is so glamorous, and this is so…gross. [RED: Halmoni has always been the queen of sleep. She goes to bed at eight-thirty, sets her hair in curlers and wraps it in a head scarf, wears a face mask, and sleeps for twelve hours.] Nothing gets in the way of beauty sleep.	릴리는 할머니를 잠의 여왕이라고 부릅니다.
7	Just a Little Bug	3	아픈 할머니를 본 릴리의 행동은?	몸이 굳어 다가가지 못했다	문을 닫고 방으로 올라갔다	크래커와 물을 가져다주었다	엄마를 깨우러 갔다	1	Except, I guess, this. [RED: A good granddaughter would help her. A good girl would bring her crackers and water and hold her hair. But for some reason, I don’t move. As much as I try, I can’t force my legs to work, can’t make my hand push the door open.] I am not a good granddaughter.	도와야 한다고 생각하면서도 다리가 움직이지 않았습니다.
7	Just a Little Bug	4	What does Halmoni promise to tell Lily at the end of the chapter?	Where she has been	What she stole	Why she is sick	How to trap a tiger	2	I was thinking about…the tiger.” [RED: She looks at me for three long heartbeats, then holds out her hand. “Come lie with me,” she says. “I tell you now. I tell you what I stole.”]	자기가 무엇을 훔쳤는지 이제 말해 주겠다고 합니다.
8	The Stolen Stars	1	할머니 침대 옆 탁자에 새로 놓여 있던 것은?	액자 사진들	작은 주황색 약통들	마른 약초	돋보기	2	In the dark, I scan the room. [RED: On her nightstand, as usual: framed photos of me, Mom, Sam. Also on her nightstand, new: a row of tiny orange pill bottles. A whole family of them.] Before I can ask about them, she says, “I stole stories.”	처방약 통이 줄지어 놓여 있는 것을 릴리가 알아챕니다.
8	The Stolen Stars	2	According to Halmoni’s story, what are the stars made of?	Stories	Fire	Ice	Tears	1	I nudge closer to her, heart humming at those magic words. [RED: “Those stories come from a time when the night is black. Only darkness. And in the darkness, a princess lives in a castle in the sky. The princess very lonely, so she whisper stories to the night. And those stories become stars.”] When Halmoni told us to reach up and grab a story from the sky, I always thought it was just a fun game.	외로운 하늘 공주가 밤에 속삭인 이야기가 별이 되었습니다.
8	The Stolen Stars	3	할머니가 별을 훔치기로 마음먹은 이유는?	별을 팔아 돈을 벌려고	별이 아름다워서	호랑이가 미워서	슬프고 나쁜 이야기를 없애고 싶어서	4	They were about clever girls and loving families and warrior princesses who saved the day. [RED: “I hear my halmoni cry when she tell me sad stories, our Korean history,” she says. “I see my neighbors get scare. My friends get angry. And I think: Why do we have to hear bad stories? Isn’t it better if bad stories just go ’way?”] I swallow.	나쁜 이야기가 사람들을 아프게 한다고 생각했습니다.
8	The Stolen Stars	4	What did Halmoni do so the tigers could not follow her?	She asked the sky god for help.	She burned the forest.	She walled up the cave with rocks.	She hid in the river.	3	Then I tiptoe away from cave, so soft, hush-hush. [RED: Before I leave, I think, I be extra safe. I make sure they don’t follow. So I take rocks from the forest, one by one, and stack them at the mouth of the cave, until they make a wall. Big, heavy wall. Until the tigers trapped inside.”] I shudder, imagining the tigers clawing on the other side.	동굴 입구를 돌로 막아 호랑이들을 가두었습니다.
8	The Stolen Stars	5	할머니가 말한 가장 용감한 일은?	믿는 것	참는 것	도망치는 것	싸우는 것	1	“How did you know you’d be okay?” [RED: “I don’t. But I believe in me. When you believe, that is you being brave. Sometime, believing is the bravest thing of all.”] “So everything turned out fine?”	스스로를 믿는 것이 가장 용감한 일이라고 말합니다.
9	An Almost Me	1	아침에 엄마가 옷을 갖춰 입고 있던 이유는?	병원에 가려고	이삿짐을 찾으러	교회에 가려고	면접이 있어서	4	And I guess a nod is good enough for Mom, because she doesn’t push it. [RED: She plunks her mug on the coffee table as she stands—and when she does, I notice she’s dressed nicely, in a button-down shirt and work pants. “Are you hungry?” she asks. “No,” I say. “What are you wearing?” “I’ve got a job interview this morning,” she explains, as she clatters around the kitchen.] We’ve only been here for one night.	이사 온 이튿날 아침부터 면접을 보러 갑니다.
9	An Almost Me	2	캘리포니아에서 엄마가 하던 일은?	교사	간호사	회계사	기자	3	We’ve only been here for one night. [RED: Most moms would want to settle in and unpack, but of course my mom’s already got an interview lined up. She worked as an accountant back in California, and she worked a lot.] “But I have time to make you something,” Mom continues.	회계사로 일했고 일이 아주 많았습니다.
9	An Almost Me	3	Why did Halmoni first come to the United States?	To study	To find her mother	To sell rice cakes	To escape a war	2	I know she lived alone with her own halmoni. [RED: I know her mom moved to the States when she was very little. Halmoni tried to find her when she moved out here herself—when I was just a baby—but I don’t think she ever did.]” “I meant more like…” Except how do I even explain this?	먼저 미국으로 떠난 어머니를 찾으러 왔지만 만나지 못했습니다.
9	An Almost Me	4	엄마가 릴리에게 제안한 것은?	함께 면접에 가자	할머니를 도와 드려라	캘리포니아 친구에게 전화해라	동네 아이들과 놀 자리를 만들어 주겠다	4	Mom takes a breath and plasters a smile on her face. [RED: “Anyway, you should meet some kids in the neighborhood. I have some high school friends with kids your age. I can set up a playdate.”] Mom does this when she wants to change the subject—just abruptly switches topics and acts like we were talking about it the whole time.	엄마의 고등학교 친구 자녀들과 만나게 해 주겠다고 합니다.
9	An Almost Me	5	어릴 적 릴리가 도서관에 들어가려 하지 않은 이유는?	사서가 무서워서	헨젤과 그레텔의 과자집처럼 보여서	길을 잃을까 봐	책이 재미없어서	2	The door and window frames were painted in bright, colorful patterns. [RED: But I told her: It looks like the gingerbread house from “Hansel and Gretel.”] I guess she’s forgotten about that.	알록달록하게 칠한 도서관이 마녀의 과자집 같았습니다.
9	An Almost Me	6	What does Lily do with the tea Mom makes for her?	She pours it down the sink.	She drinks it all.	She gives it to Sam.	She leaves it on the table.	1	It’s not like she’s paying attention. [RED: I get up to pour the tea down the sink, and the swirl of brown water thrills me. It feels reckless and wasteful, but in a good way.] I drop the mug in after it—only with too much force.	차를 싫어하는데도 엄마가 내주자 몰래 버립니다.
10	The Gingerbread Library	1	도서관에 들어선 릴리에게 사서 조가 처음 물은 것은?	이름이 무엇이냐	도서관 카드가 있느냐	누구를 찾느냐	어디서 왔느냐	2	It’s a library. [RED: “You have a card?” he asks. I’m not sure what he means at first. “Oh, right. A library card. Um…no.”] I step up to the desk, even though he kind of scares me.	카드가 없다고 하자 할머니 계정에 넣어 주겠다고 합니다.
10	The Gingerbread Library	2	How does Joe figure out who Lily is?	She is Ae-Cha’s granddaughter.	He recognizes her coat.	She shows him her card.	Jensen tells him.	1	I just moved in with her.” [RED: His eyebrow quirks up, and he nods once, in what might be approval. He’s still frowning, but less so. “You’re Ae-Cha’s granddaughter,” he confirms. “I’ll put your card under her account.”] I thank him as he types my information on his clacky keyboard.	할머니의 한국 이름을 대며 손녀임을 알아봅니다.
10	The Gingerbread Library	3	조가 할머니에 대해 한 말은?	도서관을 싫어했다	한 번도 만난 적이 없다	신세를 진 적이 있다	책을 자주 빌려 갔다	3	I thank him as he types my information on his clacky keyboard. [RED: “Good woman,” he says after a few moments. “Shock to this town’s system when she moved here, that’s for sure. But I owe her. And Joan—your mother?—followed her everywhere.”] “Oh,” I say.	할머니에게 빚진 것이 있다고만 말하고 넘어갑니다.
10	The Gingerbread Library	4	What does Jensen tutor?	High school math	Elementary science	Piano	Middle school language arts	4	I refocus on Jensen, who keeps talking. [RED: “I tutor for middle school language arts. So if you’re ever looking for help, let me know.”] My voice scratches when I speak, like it always does when I talk to strangers.	중학교 국어(영어) 과목 과외를 맡고 있습니다.
10	The Gingerbread Library	5	직원 휴게실 벽에 붙어 있던 포스터의 문구는?	BE KIND	DREAM BIG	HANG IN THERE	READ MORE	3	Inside I see a mini-refrigerator, a cupboard, two chairs, and the back door of the library. [RED: On the wall by the door is a faded poster of a cat hanging from a tree, with the words HANG IN THERE written in white bubble letters. I don’t know who put that up, but I’m pretty sure it wasn’t Joe.] “This is the staff room,” Jensen explains, “but I always tell my tutees they can come back here.	나뭇가지에 매달린 새끼 고양이 사진이 있는 낡은 포스터입니다.
10	The Gingerbread Library	6	젠슨이 릴리에게 건넨 초콜릿 컵케이크를 만든 사람은?	젠슨의 어머니	가게에서 사 온 것	젠슨	조	4	But I shake away my panic and thank her as I accept the cupcake. [RED: Jensen leans in and lowers her voice. “I’ll let you in on a secret: Joe made it.”] I raise my eyebrows, and she laughs.	무뚝뚝한 사서 조가 직접 구운 것이었습니다.
10	The Gingerbread Library	7	릴리의 호랑이 이야기를 들은 젠슨이 떠올린 서양 이야기는?	신데렐라	잠자는 숲속의 공주	빨간 모자	백설공주	3	And then he chases them and—” [RED: “That sounds like ‘Little Red Riding Hood’!” Jensen interrupts. “No, that’s a wolf,” I say. “And this story is from Korea.”] She runs her finger along the book spines, absentmindedly.	릴리는 그건 늑대이고 이건 한국 이야기라고 바로잡습니다.
10	The Gingerbread Library	8	What is the name of the only Asian restaurant in town?	Golden Wok	Dragon Thyme	Tiger Garden	Sunbeam Noodle	2	“To be honest, this town is pretty white, so you’re not going to find much about other cultures. [RED: Like, sometimes I pick up waitressing shifts at the only Asian restaurant in town—you know, Dragon Thyme? And I know, it’s a pretty cheesy name, and there’s no thyme in Asian food, but that’s just the town we live in]….” She clears her throat.	젠슨도 촌스러운 이름이라며 웃는 식당입니다.
11	A Collision Situation	1	릴리와 부딪친 남자아이의 차림새로 맞는 것은?	옛날식 신문팔이 모자를 썼다	모자를 쓰지 않았다	우비를 입고 있었다	야구 모자를 거꾸로 썼다	1	It’s a boy. [RED: A short white boy, wearing a bright orange shirt, black jeans, and an old-fashioned newsboy hat over shaggy brown hair.] “Sorry!”	주황색 셔츠에 옛날식 뉴스보이 캡을 쓴 아이였습니다.
11	A Collision Situation	2	When does Jensen tutor Ricky?	Only on weekends	Once a month	Every day	Tuesdays and Thursdays	4	“Lily just moved in with her grandmother, in the house across the street from here.” [RED: Gesturing to Ricky, Jensen adds, “Lily, this is Ricky, one of my summer tutees. We meet every Tuesday and Thursday.”] She turns directly to Ricky and says, “And the library isn’t sad.	여름 동안 화요일과 목요일에 만납니다.
11	A Collision Situation	3	리키가 도서관에서 읽고 있는 것은?	공룡 도감	초창기 슈퍼맨 만화	호랑이 사진집	탐정 소설	2	“No, I’m just looking for books.” [RED: His eyes go wide, and he looks at the shelves of comics. “Do you like comics, too? I love them. I’m reading through the original Supermans right now. Well, the issues that Joe has here, at least.] I know a lot of people think Superman’s not cool.	가장 좋아하는 히어로는 아니지만 기본이라서 읽는다고 합니다.
11	A Collision Situation	4	리키가 털어놓은 집안 이야기는?	증조할아버지가 호랑이 사냥꾼이었다	할아버지가 도서관을 지었다	아버지가 동물원에서 일한다	어머니가 만화가였다	1	“You can’t trust a tiger,” he repeats, like I’ve said something fascinating and he’s trying to commit it to memory. [RED: “I like that. My great-grandpa was a tiger hunter. But that’s actually really bad, because tigers are endangered and that’s illegal now, so my dad doesn’t want me to tell people about that.”] He pauses.	지금은 불법이라 아빠가 말하지 말라고 한다고 덧붙입니다.
12	Extra Protection	1	집에 혼자 남은 릴리가 계속 먹은 간식은?	쿠키	떡	감자칩	피넛버터 컵	4	The next afternoon, Mom’s at another interview, and Halmoni naps through lunch—which is unusual, because even though Halmoni loves to sleep, she loves eating even more. [RED: Sam’s upstairs on her computer, and I have nothing to do but snack on peanut butter cups, pace, and think about the tiger.] Here’s what I know:	릴리가 가장 좋아하는 과자입니다.
