chapter_no	chapter_title	eng	kor	remark
5	The Sun and the Moon	if you give a tiger a rice cake	호랑이에게 떡을 하나 주면	두 이야기가 한 문장에 겹쳐 있습니다. 하나는 한국 옛이야기의 "떡 하나 주면 안 잡아먹지"이고, 다른 하나는 미국 아이라면 누구나 아는 그림책 《If You Give a Mouse a Cookie》(생쥐에게 과자를 주면)입니다. 이 그림책은 생쥐에게 과자를 주면 우유를 달라 하고 우유를 주면 빨대를 달라 하는 식으로 요구가 끝없이 이어지는 이야기라, 영어 독자는 이 문장에서 "한 번 주기 시작하면 끝이 없다"는 뜻을 곧바로 알아챕니다. 한국 호랑이와 미국 그림책을 한 줄에 포개 놓은 것이라, 이 소설이 두 나라 이야기 위에 동시에 서 있다는 것을 보여 주는 대목입니다.
5	The Sun and the Moon	the sky god	하늘님	할머니가 들려주는 이 이야기는 한국 전래동화 「해와 달이 된 오누이」를 바꿔 쓴 것입니다. 원작과 다른 곳이 셋인데, 첫째 오누이가 아니라 자매이고, 둘째 하늘님이 동아줄을 내려 주는 대가로 이야기를 하나 들려 달라고 요구하며, 셋째 호랑이가 썩은 동아줄에 매달렸다가 수수밭에 떨어져 죽는 대신 그냥 하늘에서 쫓겨납니다. 하늘님조차 이야기 앞에서는 못 견딘다는 설정과 호랑이의 사연은 아무도 들어 주지 않았다는 설정이 이때 새로 들어온 것입니다. 마지막 줄에서 릴리가 "호랑이의 이야기는 무엇이었을까"라고 묻는 순간, 이 두 가지 변경이 소설 전체의 출발점이 됩니다.
6	The Empty Basement	the basement	지하실 (미국 주택에 흔히 딸린 지하 공간)	미국 단독주택은 기초를 깊이 파고 짓는 경우가 많아 집집마다 지하실이 딸려 있고 창고나 세탁실, 아이들 놀이방으로 씁니다. 한국 주택에는 흔치 않아 잘 그려지지 않는 공간입니다. 한편 미국 공포영화에서 지하실은 절대 혼자 내려가서는 안 되는 자리라는 관습이 굳어져 있어서, 릴리가 "무서운 영화의 규칙은 안다 — 지하실에 들어가지 마라, 절대 혼자 가지 마라"라고 읊는 대목은 그 관습을 그대로 가져온 것입니다. 그런데 릴리에게 이 지하실은 언니와 이야기를 지어내며 놀던 가장 좋아하는 곳이기도 해서, 무서운 곳과 그리운 곳이 한자리에 겹칩니다.
7	Just a Little Bug	a little beetle-bug	작은 딱정벌레-잔병 (할머니가 bug을 beetle로 잘못 옮긴 말)	영어에서 a bug은 벌레라는 뜻과 함께 배탈이나 감기 같은 가벼운 잔병이라는 뜻으로도 씁니다. a stomach bug이라고 하면 독감이 아니라 장염을 가리키며 미국에서는 이것을 stomach flu라고도 부릅니다. 할머니는 그 관용적인 뜻으로 말하려다 벌레 쪽 낱말인 beetle로 잘못 옮겨 말하고, 릴리가 "a bug 말이에요?"라고 고쳐 준 뒤 속으로 "그냥 작은 딱정벌레-잔병"이라고 되뇝니다. 우리말로 옮기면 사라지는 농담이라 챕터 제목까지 Just a Little Bug입니다. 그러나 할머니가 밤마다 토하는 병은 결코 작은 잔병이 아니어서, 이 가벼운 말장난은 뒤로 갈수록 아프게 되읽힙니다.
7	Just a Little Bug	beauty sleep	미용을 위한 잠	잘 자야 피부가 좋아진다고 하여 미용을 위해 일찍 충분히 자는 것을 가리키는 말입니다. 영어권에서 수백 년째 쓰여 온 표현이라 지금은 반쯤 농담처럼 씁니다. 할머니는 여덟 시 반이면 잠자리에 들고 머리를 롤로 말아 두건을 쓰고 팩까지 붙인 뒤 열두 시간을 잔다고 나오는데, 릴리는 그것을 "잠의 여왕"이라 부르며 "미용을 위한 잠을 방해하는 것은 아무것도 없다"고 적습니다. 그런데 바로 그 문장 끝에 "이것만 빼고"가 붙습니다. 늘 지켜 오던 것이 무너졌다는 표시라, 가벼운 농담 같은 이 한 줄이 병의 무게를 처음으로 알려 줍니다.
8	The Stolen Stars	tiny orange pill bottles	주황색 처방약 통	미국 약국은 처방약을 주황빛이 도는 반투명 플라스틱 통에 담아 주고, 뚜껑은 눌러 돌려야 열리게 만들어 아이가 열지 못하게 합니다. 통 옆에는 환자 이름과 약 이름, 복용법을 적은 흰 라벨이 붙습니다. 한국은 약을 봉투에 회차별로 나눠 주므로 이 통 자체가 낯설지만, 미국 이야기에서 이 주황색 통이 여러 개 늘어서 있다는 묘사는 그것만으로 중병을 앓고 있다는 신호로 읽힙니다. 릴리는 그것을 "약통 한 가족"이라고만 말하고 무슨 약이냐고 묻지 못한 채 넘어가는데, 독자는 이 한 줄에서 할머니의 병을 이미 짐작하게 됩니다.
9	An Almost Me	playdate	플레이데이트 (부모끼리 약속을 잡아 아이들을 놀게 하는 자리)	미국에서는 아이들이 저희끼리 몰려다니게 두지 않고 부모가 날짜와 시간을 정해 서로의 집에 데려다주며 놀게 하는데, 이 약속을 playdate라고 합니다. 대개 미취학 아동이나 초등학교 저학년에게 쓰는 말입니다. 엄마가 열두 살인 릴리에게 플레이데이트를 잡아 주겠다고 하자 릴리가 "플레이데이트는 여섯 해쯤 전에 유효기간이 끝났다"고 속으로 받아치는 것이 그래서 우스운 대목입니다. 엄마가 딸의 나이조차 제대로 헤아리지 못하고 있다는 것, 곧 이 장의 제목인 An Almost Me(거의 나인 아이)가 무슨 뜻인지를 이 한 마디가 미리 보여 줍니다.
9	An Almost Me	moved to the States	미국으로 건너갔다	미국은 1965년에 이민법을 고쳐 그전까지 아시아인을 사실상 막아 두었던 국가별 할당을 없앴고, 그 뒤 1970~80년대에 한국인 이민이 크게 늘어 오늘날의 재미 한인 사회가 자리를 잡았습니다. 이때 흔했던 방식이 식구 하나가 먼저 건너가 터를 닦고 나머지를 차례로 부르는 연쇄 이민이라, 어린아이를 고향에 두고 떠나는 어머니도 드물지 않았습니다. 할머니의 어머니도 할머니를 시골 마을에 두고 먼저 미국으로 떠났고, 할머니는 자란 뒤 그 어머니를 찾아 건너왔지만 끝내 만나지 못했습니다. 소설 내내 되풀이되는 "아이를 두고 떠나는 어머니"가 처음 나오는 자리입니다.
9	An Almost Me	the gingerbread house	과자집 (생강 쿠키로 지은 집)	진저브레드는 생강과 당밀을 넣어 구운 단단한 갈색 과자로, 미국과 유럽에서는 크리스마스에 이 과자로 집 모양을 짓고 설탕 아이싱과 사탕으로 꾸미는 풍습이 있습니다. 「헨젤과 그레텔」에서 마녀가 아이들을 꾀어 들이는 과자집이 바로 이것이라, 영어권 아이에게 gingerbread house는 달콤함과 함정이 한 몸인 그림입니다. 어린 릴리가 길 건너 도서관에 들어가기를 한사코 거부한 것은 알록달록하게 칠한 문틀과 창틀이 꼭 그 과자집처럼 보였기 때문이고, 다음 장에서 젠슨이 냉장고에서 컵케이크를 꺼내 건네는 순간 릴리가 또 한 번 움찔하는 것도 같은 이유입니다.
10	The Gingerbread Library	Dragon Thyme	드래건 타임 (마을의 유일한 아시아 음식점 — thyme은 time과 발음이 같다)	thyme은 서양 요리에 쓰는 허브 타임인데 앞의 th를 발음하지 않아 time과 소리가 똑같습니다. 그래서 간판은 Dragon Thyme이지만 귀로는 Dragon Time, 곧 "용의 시간"으로 들립니다. 젠슨이 "촌스러운 이름인 데다 아시아 음식에는 타임을 넣지도 않는다"며 웃는 이유가 여기 있습니다. 백인이 거의 전부인 마을(this town is pretty white)에서 하나뿐인 아시아 음식점이 서양 허브 이름에 용을 얹어 간판을 단 셈이라, 아시아라는 것을 대충 뭉뚱그려 상상한 결과물입니다. 릴리가 한국 옛이야기 책 한 권을 끝내 찾지 못하는 장면 바로 옆에 이 간판 이야기가 놓인 것도 그래서입니다.
10	The Gingerbread Library	HANG IN THERE	조금만 더 버텨 (나뭇가지에 매달린 새끼 고양이 포스터의 문구)	1971년에 나와 크게 퍼진 미국의 격려 포스터로, 나뭇가지에 앞발로 겨우 매달린 새끼 고양이 사진 아래에 "Hang in there, baby"라고 적혀 있습니다. 사무실과 교실 벽에 하도 많이 붙어서 지금은 촌스러움의 대명사이자 농담거리가 되었고, 미국 사람이라면 설명 없이 알아봅니다. 도서관 직원 휴게실 벽에 이 빛바랜 포스터가 붙어 있는데, 릴리가 "누가 붙였는지는 몰라도 조는 아닐 것"이라고 짚는 대목이 웃음의 요점입니다. 무뚝뚝한 사서 조가 아니라 늘 웃는 젠슨의 물건이리라는 뜻이고, 실제로 조는 그 뒤 손수 구운 컵케이크로 겉과 속이 다른 사람임을 보여 줍니다.
10	The Gingerbread Library	the Narnia books	《나니아 연대기》	C. S. 루이스가 1950년대에 쓴 일곱 권짜리 판타지로, 옷장을 지나 들어간 나라 나니아를 다스리는 것은 아슬란이라는 사자입니다. 젠슨은 릴리가 호랑이 이야기를 찾는다고 하자 반사적으로 나니아를 권했다가 "아, 그건 사자였지" 하고 스스로 말을 접습니다. 영어권 독자에게는 큰 고양잇과 짐승이 나오는 이야기라면 가장 먼저 떠오르는 것이 나니아라는 뜻입니다. 이 짧은 주고받음으로 도서관에 한국 옛이야기 책이 한 권도 없다는 사실이 드러나고, 릴리가 찾는 호랑이는 서양 판타지 어디에도 없는 할머니의 나라에서 온 짐승이라는 것도 함께 드러납니다.
10	The Gingerbread Library	middle school language arts	중학교 국어(영어) 과목	미국의 middle school은 대개 6~8학년으로 우리 중학교에 해당하고, language arts는 그 학교에서 읽기와 쓰기, 문법, 문학을 함께 다루는 과목의 이름입니다. 우리로 치면 국어에 해당하지만 미국 학생에게는 모국어가 영어라서 English 대신 이 이름을 쓰는 학교가 많습니다. 젠슨은 고등학생이면서 이 과목 과외를 맡고 있는데, 미국에서는 상급생이 아래 학년을 봐 주는 또래 과외가 흔합니다. 이 한 줄로 젠슨이 왜 도서관에서 일하는지, 그리고 이 마을 도서관이 사서 한 명과 학생 한 명으로 굴러가는 작은 곳이라는 것이 함께 드러납니다.
10	The Gingerbread Library	The roar of the tiger	호랑이의 포효 (저주파가 사람을 마비시킨다는 속설)	호랑이의 울음에는 매우 낮은 주파수 성분이 있으며, 일부 관찰에서는 약 17.5헤르츠의 기본 주파수가 보고되었습니다. 그러나 이런 저주파가 사람을 실제로 ‘마비시킨다’는 사실은 과학적으로 입증되지 않았고, 잡학책과 대중 기사에서 과장되어 퍼진 주장에 가깝습니다. 릴리가 도서관에서 찾은 《102 Tiger Facts!》가 이 문장을 사실처럼 제시하는 장면은, 한국 호랑이 이야기를 찾으러 왔지만 자극적인 동물 상식책만 발견했다는 상황을 보여 줍니다. 따라서 이 대목은 확정된 과학 지식이라기보다 릴리가 읽은 책 속의 놀라운 주장으로 이해해야 합니다.
10	The Gingerbread Library	Little Red Riding Hood	「빨간 모자」	늑대가 할머니를 잡아먹고 그 옷을 입은 채 손녀를 기다리는 유럽 옛이야기입니다. 젠슨은 릴리가 옮긴 호랑이 이야기를 듣자마자 이 이야기를 떠올리는데, 실제로 짐승이 할머니로 둔갑해 아이들을 노리는 이야기는 세계 곳곳에 있습니다. 중국의 「늑대 할머니(狼外婆)」는 에드 영이 《Lon Po Po》라는 그림책으로 옮겨 1990년 칼데콧 메달을 받아 미국에서도 잘 알려져 있습니다. 젠슨이 "서로 겹치지 않는 곳에서도 비슷한 이야기가 생겨난다"고 말하는 근거가 이것입니다. 다만 릴리는 "이건 늑대가 아니라 호랑이고, 자매와 해와 달의 이야기"라며 속으로 반박합니다.
11	A Collision Situation	newsboy hat	뉴스보이 캡 (챙이 짧고 윗부분이 둥근 옛날식 모자)	20세기 초 미국과 영국에서 거리에 서서 신문을 팔던 소년들이 쓰던 데서 이름이 붙은 모자로, 여덟 조각 천을 이어 붙인 둥근 윗부분에 짧고 딱딱한 챙이 달려 있습니다. 지금은 백 년쯤 묵은 옛날 느낌을 주는 차림이라, 열두어 살 남자아이가 이 모자를 쓰고 다니면 또래와 확실히 달라 보입니다. 리키는 이 모자를 쓰고 챙을 잡아 인사하며 "충돌 상황에서 만나게 되어 미안합니다" 같은 어른스러운 말투로 첫인사를 건넵니다. 남들이 어떻게 볼지 아랑곳하지 않고 제 취향대로 밀고 나가는 아이라는 것이 옷차림 하나로 정해집니다.
11	A Collision Situation	canon	캐넌 (그 분야에서 기본으로 치는 정전)	원래 성경의 정경을 가리키던 말인데 지금은 만화와 영화, 게임 팬들 사이에서 "공식으로 인정되는 설정" 또는 "그 분야라면 반드시 거쳐야 하는 기본"이라는 뜻으로 씁니다. 슈퍼맨은 1938년에 나온 최초의 슈퍼히어로라 이후의 거의 모든 히어로가 그를 본떠 만들어졌습니다. 그래서 리키가 "슈퍼맨을 촌스럽다고 하는 사람이 많고 내가 제일 좋아하는 히어로도 아니지만 그래도 canon이잖아"라고 하는 말은, 취향과는 별개로 기본은 알아야 한다는 뜻입니다. 만화 이야기가 나오자마자 말이 길어지는 데서 리키가 무엇에 진심인 아이인지 드러납니다.
11	A Collision Situation	dibs	내가 먼저 찜 (먼저 차지하겠다는 아이들 말)	미국 아이들은 무언가를 먼저 차지하겠다고 선언할 때 "Dibs!" 또는 "I call dibs on that!"이라고 외칩니다. 앞자리, 마지막 남은 한 조각, 좋아하는 자리를 놓고 늘 쓰는 말이라 어릴 때부터 몸에 배어 있습니다. have dibs on은 그것에 대한 우선권을 가진다는 뜻입니다. 리키가 "호랑이를 좋아하는 여자애는 처음 본다"고 하자 릴리는 속으로 "호랑이 좋아하는 걸 남자애들이 찜해 둔 것도 아니잖아"라고 받아칩니다. 다만 이 말을 입 밖에 내지는 못하고, 그렇게 받아치는 것은 샘이나 할 법한 일이라고 스스로 정리합니다.
12	Extra Protection	peanut butter cups	피넛버터 컵 (땅콩버터를 초콜릿으로 감싼 미국 과자)	컵 모양으로 굳힌 초콜릿 안에 땅콩버터를 채운 과자로, 리스(Reese’s)가 대표 상표이며 미국에서 가장 많이 팔리는 초콜릿 가운데 하나입니다. 땅콩버터를 달고 짭짤하게 먹는 미국 입맛이 그대로 담겨 있어 한국에서는 낯선 맛입니다. 할머니가 장 보러 가며 적은 목록을 보면 엄마는 와사비 완두콩, 샘은 크래커, 릴리는 이 피넛버터 컵으로 사람마다 좋아하는 것이 하나씩 적혀 있습니다. 할머니가 식구 하나하나의 입맛을 다 외고 있다는 뜻이고, 그 목록 아래쪽에 액막이용 쌀과 잣이 같은 무게로 나란히 적혀 있다는 점도 이 집에서는 자연스러운 일입니다.
12	Extra Protection	her permit	임시 운전면허 (혼자서는 몰 수 없는 연습용 면허)	미국은 주마다 다르지만 대개 만 15~16세에 learner’s permit이라는 임시 면허를 먼저 받고, 정식 면허를 가진 어른이 옆자리에 타야만 운전할 수 있습니다. 정해진 연습 시간을 채우고 시험을 통과해야 혼자 몰 수 있는 면허로 바뀝니다. 그래서 열여섯 살 샘이 면허가 있는 할머니를 옆에 태우고 운전할 수 있고, 엄마가 연습하라고 계속 다그치는 것입니다. 만 열여덟 살이 되어야 면허를 따는 한국과 달라 이 사정을 알아야 읽히는 대목입니다. 샘이 강습을 두 번 받고 운전대를 놓아 버린 이유가 아빠의 교통사고였다는 것도 여기서 함께 밝혀집니다.
12	Extra Protection	Lucky Charms	러키 참스 (마시멜로가 든 미국 시리얼 상표)	1964년에 나온 미국 시리얼로 네잎클로버와 말발굽과 별 모양의 색색 마시멜로가 들어 있고, 상자에는 아일랜드 전설의 요정 레프러콘이 그려져 있습니다. 이름을 그대로 옮기면 "행운의 부적"입니다. 릴리가 몸을 숨긴 채 엿듣다가 무너뜨린 것이 하필 이 러키 참스 진열대인데, 그날 할머니를 따라 마트에 온 이유가 바로 액막이할 것들을 사러 온 것이었습니다. 진짜 부적을 사러 온 날 "행운의 부적" 더미에 깔린 셈이라 영어로 읽으면 저절로 웃음이 나는 자리입니다. 하필 이때 릴리의 투명인간 능력이 통하지 않았다는 점도 함께 놀리고 있습니다.
12	Extra Protection	mochi flour	찹쌀가루 (미국에서는 일본 이름으로 팔린다)	떡을 만드는 찹쌀가루인데 미국 마트에서는 일본말 모찌를 따 mochi flour 또는 mochiko라는 이름으로 팝니다. 미국에 일본계 이민이 한국계보다 훨씬 먼저 자리를 잡아, 아시아 식재료의 영어 이름이 대부분 일본말로 굳었기 때문입니다. 두부와 라멘 같은 말도 사정이 같습니다. 한국 떡을 만들려는 할머니의 장보기 목록에 일본 이름을 단 봉지가 올라 있는 셈이라, 10장의 Dragon Thyme 간판과 같은 이야기가 조용히 되풀이됩니다. 45장에서 할머니 없이 세 모녀가 떡을 만들 때도 이 봉지를 꺼냅니다.
13	Fix It	light-lifetimes	빛으로 몇 생애 (광년을 비틀어 만든 말)	별까지의 거리는 보통 광년(light-year), 곧 빛이 한 해 동안 가는 거리로 잽니다. 작가는 여기서 year를 lifetime으로 바꿔 light-lifetimes라는 없는 말을 만들었습니다. 빛으로도 한 생애가 아니라 여러 생애가 걸리는 거리라는 뜻이라 사전을 찾으면 나오지 않습니다. 할머니가 길가에 쓰러진 그 밤, 릴리가 차창 밖 별을 올려다보며 "저것들은 몇 생애나 떨어져 있는데도 이야기를 노래하는 소리가 들릴 것만 같다"고 말하는 대목입니다. 이 소설에서 별은 곧 이야기이므로, 아득히 멀지만 끝내 닿는다는 뜻이 이 한 낱말에 들어 있습니다.
15	Buying More Time	special treatments	특별 치료 (일반적인 치료 외에 추가로 고려하는 치료)	special treatments는 정식 의료 용어가 아니라 가족이 통상적인 치료 외에 더 시도해 보려는 치료를 뭉뚱그려 부르는 표현입니다. 본문은 그 치료가 무엇인지, 보험 적용 대상인지 밝히지 않습니다. 미국에서는 직장을 통해 건강보험에 가입하는 경우가 많지만 실직해도 Marketplace·Medicaid·COBRA 같은 다른 보장 경로가 있으므로 ‘직장이 없으면 보험도 없다’고 단정할 수는 없습니다. 엄마가 새 일자리를 찾으면 돈을 더 벌어 치료 선택지를 넓힐 수 있다고 기대하는 장면이며, ‘I can buy more time’이라는 말은 돈으로 할머니의 시간을 조금이라도 늘리고 싶은 절박함을 드러냅니다.
16	The Doom Trap	bake sale	베이크 세일 (집에서 구운 것을 팔아 돈을 모으는 행사)	미국에서 학교나 도서관, 교회, 운동부가 돈을 모을 때 가장 흔히 하는 방식으로, 참가자들이 집에서 쿠키와 컵케이크와 브라우니를 구워 와 탁자를 펴 놓고 싼값에 파는 행사입니다. 큰돈이 모이지는 않지만 사람들을 한자리에 불러 모으는 것이 진짜 목적이라, 사서 조가 "얼마나 모일지는 모르겠지만 동네 사람들을 끌어들이는 데는 좋은 생각"이라고 말하는 것입니다. 파는 물건을 기증받는 한국의 바자회와 달리 직접 구운 것만 판다는 점이 다릅니다. 릴리가 무심코 던진 "이거 팔아도 되겠어요"라는 한마디가 이 행사로 커져 뒷이야기의 큰 마당이 됩니다.
16	The Doom Trap	a beanie that says BEANS	BEANS라고 적힌 비니 (beanie와 beans의 말장난)	beanie는 챙 없이 머리에 딱 붙는 털모자이고 beans는 콩입니다. 두 낱말의 소리가 거의 같아서 비니에 굳이 BEANS라고 적어 놓은 것 자체가 농담입니다. 우리말로 "비니에 콩이라고 적혀 있다"라고 옮기면 무엇이 우스운지 알 수 없어집니다. 리키는 뉴스보이 캡에 이어 이 콩 비니, 나중에는 위장무늬 실크해트까지 쓰고 나타나는데 모자마다 이렇게 한 번씩 웃기려는 구석이 있습니다. 모자는 엄마와 함께 사 모으던 것이었다고 뒤에 밝혀지므로, 이 우스운 모자들은 리키가 엄마를 곁에 붙잡아 두는 방식이기도 합니다.
16	The Doom Trap	at camp	캠프에 가 있는 (여름 내내 지내는 미국의 숙박형 캠프)	미국의 여름방학은 6월 초부터 9월 초까지 열 주가 넘게 이어져서, 부모들은 아이를 몇 주짜리 숙박형 캠프에 보내거나 서머스쿨과 과외로 그 긴 시간을 채웁니다. 숲속 오두막에서 지내며 수영과 카누와 공예를 하는 것이 전형적인 캠프의 모습이라, 여름이면 동네에서 또래가 한꺼번에 사라집니다. 리키가 "애덤은 캠프에 갔고 코너는 이탈리아를 여행 중이라 나는 반드시 사회화되어야 한다"고 익살을 부리는 것이 그래서입니다. 이 소설이 통째로 이 긴 여름 안에서 벌어진다는 것과, 리키가 그 여름을 혼자 보내고 있다는 것이 한꺼번에 드러납니다.
